d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2020-2021,26557.29,25287.03
0_other,2021-2022,75142.71,70315.62
1_facilities_and_construction,2017-2018,153566.70,157824.70
1_facilities_and_construction,2018-2019,877752.81,888942.82
1_facilities_and_construction,2019-2020,1246334.19,1243000.17
1_facilities_and_construction,2020-2021,701188.20,670583.94
1_facilities_and_construction,2021-2022,1042565.27,974491.04
2_professional_services,2017-2018,29925.00,30757.85
2_professional_services,2018-2019,57304.08,57857.66
2_professional_services,2019-2020,284244.59,281455.41
2_professional_services,2020-2021,231587.92,220559.23
2_professional_services,2021-2022,232276.67,218561.13
