owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2017-2018,11690.84,11996.47
cbsa-asfc,2021-2022,67648.66,53477.13
dfo-mpo,2017-2018,1340499.93,1368248.79
dfo-mpo,2018-2019,618793.70,626710.83
dfo-mpo,2019-2020,1344122.70,1341995.62
dfo-mpo,2020-2021,2215802.39,2144413.18
dfo-mpo,2021-2022,1651838.30,493230.58
dnd-mdn,2017-2018,154250.73,156900.35
dnd-mdn,2019-2020,129829.25,129770.02
dnd-mdn,2021-2022,43948.80,29818.90
ec,2019-2020,11260.15,11275.59
ec,2020-2021,3868.77,3656.80
ec,2021-2022,82553.17,32386.99
pc,2017-2018,85481.91,88211.43
pc,2018-2019,175027.53,177389.61
pc,2019-2020,241074.90,240699.03
pc,2020-2021,71449.03,69767.90
pc,2021-2022,248939.17,153517.30
pwgsc-tpsgc,2020-2021,44999.64,43858.63
rcmp-grc,2017-2018,115251.01,118066.42
rcmp-grc,2018-2019,335736.09,339646.82
rcmp-grc,2019-2020,218946.46,218187.46
rcmp-grc,2020-2021,222006.19,215482.61
tc,2019-2020,36750.00,36800.39
tc,2020-2021,18900.00,18122.77
