d_vendor_name,d_fiscal_year,total
2KEYS,2017-2018,447983.97
2KEYS,2018-2019,381956.22
2KEYS,2019-2020,292867.88
2KEYS,2020-2021,291267.51
3D DATACOMM,2017-2018,130447.18
3D DATACOMM,2018-2019,105176.62
3D DATACOMM,2019-2020,10538.61
4 OFFICE AUTOMATION,2017-2018,995.76
ABB,2017-2018,358397.07
ACCESS 2 NETWORKS,2018-2019,206610.08
ACCESS 2 NETWORKS,2019-2020,184913.02
ACCESS 2 NETWORKS,2020-2021,52591.49
ACKLANDS GRAINGER,2017-2018,714131.15
ACKLANDS GRAINGER,2018-2019,549896.38
ACKLANDS GRAINGER,2019-2020,304517.78
ACKLANDS GRAINGER,2020-2021,232306.8
ACME FUTURE SECURITY CONTROLS,2017-2018,9682.95
ACME FUTURE SECURITY CONTROLS,2018-2019,9951.93
ACT,2017-2018,857515.61
ACT,2018-2019,1024156.57
ACT,2019-2020,757206.23
ACT,2020-2021,1727079.47
ADGA GROUP,2017-2018,3942408.64
ADGA GROUP,2018-2019,181444.05
ADGA GROUP,2019-2020,13717.99
ADGA GROUP,2020-2021,9932.42
ADOBE,2018-2019,25080.9
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,396166.95
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,1286348.96
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,1212265.47
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,4057966.43
AEREX AVIONICS,2017-2018,3432168.33
AEREX AVIONICS,2018-2019,2178270.46
AEREX AVIONICS,2019-2020,1934786.95
AEREX AVIONICS,2020-2021,1156091.95
AGILENT,2017-2018,4294.38
AGILENT,2018-2019,28835.83
AGILENT,2019-2020,24699.58
AGILENT,2020-2021,10504.38
AIR INUIT,2017-2018,179797.86
AIR INUIT,2018-2019,181418.22
AIR INUIT,2019-2020,30901.9
AIR LIQUIDE CANADA,2017-2018,59557.65
AIR LIQUIDE CANADA,2018-2019,11486.9
AIR LIQUIDE CANADA,2020-2021,33584.14
AIR TINDI,2020-2021,234751.2
AIRBORNE SYSTEMS,2017-2018,20619.35
AIRBUS,2017-2018,420420.18
AIRBUS,2019-2020,4094490
ALLIANT TECHSYSTEMS OPERATIONS,2017-2018,6794161.1
ALLIANT TECHSYSTEMS OPERATIONS,2018-2019,4696391.41
ALLIANT TECHSYSTEMS OPERATIONS,2019-2020,3261025.53
ALLIANT TECHSYSTEMS OPERATIONS,2020-2021,3252115.63
ALPINE HELICOPTERS,2017-2018,10999.28
ALPINE HELICOPTERS,2018-2019,4128.5
ALTIS HUMAN RESOURCES,2017-2018,91261.48
ALTIS HUMAN RESOURCES,2018-2019,86390.72
ALTIS HUMAN RESOURCES,2019-2020,86627.4
AMAZON,2020-2021,10615.22
AMTEK ENGINEERING,2017-2018,94635.36
AMTEK ENGINEERING,2018-2019,51151.67
AMTEK ENGINEERING,2019-2020,23011.88
AMTEK ENGINEERING,2020-2021,15341.25
ANIXTER CANADA,2017-2018,107092.09
ANIXTER CANADA,2018-2019,362247.85
ANIXTER CANADA,2019-2020,1829769.67
ANIXTER CANADA,2020-2021,687268.49
ANSYS CANADA,2017-2018,151975.95
ANSYS CANADA,2018-2019,290746.06
ANSYS CANADA,2019-2020,216128.44
APPAREL TRIMMINGS,2017-2018,27130.03
APPAREL TRIMMINGS,2018-2019,27130.03
APPAREL TRIMMINGS,2019-2020,4534.06
APPLIED ELECTONICS,2017-2018,738212.83
APPLIED ELECTONICS,2018-2019,1475376.48
APPLIED ELECTONICS,2019-2020,1271738.45
APPLIED ELECTONICS,2020-2021,733761.2
APPLIED SYSTEMS ENGINEERING,2019-2020,6044170.82
APRON FUEL SERVICES,2017-2018,2026021.71
APRON FUEL SERVICES,2018-2019,2271500.02
APRON FUEL SERVICES,2019-2020,1316547.53
AQUA LUNG CANADA,2017-2018,8637873.88
AQUA LUNG CANADA,2018-2019,3238789.8
AQUA LUNG CANADA,2019-2020,592835.52
AQUA LUNG CANADA,2020-2021,1018719.27
ARC TERYX EQUIPMENT A DIVISION OF AMER SPORTS CANADA,2017-2018,476192.12
ARC TERYX EQUIPMENT A DIVISION OF AMER SPORTS CANADA,2018-2019,476192.12
ARC TERYX EQUIPMENT A DIVISION OF AMER SPORTS CANADA,2019-2020,147423.86
ARCADIS CANADA,2020-2021,11166.75
ARI FINANCIAL SERVICES,2017-2018,197415.58
ARI FINANCIAL SERVICES,2018-2019,185903.82
ARI FINANCIAL SERVICES,2019-2020,194878.1
ARI FINANCIAL SERVICES,2020-2021,183750
ARTEX SPORTSWEAR,2017-2018,925838.44
ARTEX SPORTSWEAR,2018-2019,925838.44
ARTEX SPORTSWEAR,2019-2020,1057727.05
ARTEX SPORTSWEAR,2020-2021,912116.97
ATCO,2017-2018,30849
ATLANTIC BUSINESS INTERIORS,2017-2018,22602.15
ATLANTIC BUSINESS INTERIORS,2018-2019,974.23
ATLANTIC BUSINESS INTERIORS,2019-2020,14175.91
ATLANTIC TOWING,2018-2019,15300.55
ATLANTIC TOWING,2019-2020,34699.45
AVI SPL CANADA,2017-2018,158477.22
AVI SPL CANADA,2018-2019,686984.3
AVI SPL CANADA,2019-2020,228139.28
AVI SPL CANADA,2020-2021,1034361.43
AVJET HOLDING,2019-2020,96182.22
AVJET HOLDING,2020-2021,2080.4
