d_vendor_name,d_fiscal_year,total
ADVANCED BUSINESS INTERIORS,2019-2020,17819.54
ADVANCED BUSINESS INTERIORS,2020-2021,15962.38
BELL CANADA,2017-2018,1066037.51
BELL CANADA,2018-2019,1066037.51
BELL CANADA,2019-2020,567966.40
BELL CANADA,2020-2021,566414.58
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,41964.76
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,47931.71
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,48667.83
CARAHSOFT TECHNOLOGY,2018-2019,7979.67
CARAHSOFT TECHNOLOGY,2019-2020,101353.30
CARAHSOFT TECHNOLOGY,2020-2021,119635.16
CISION CANADA,2020-2021,3501.64
DELOITTE AND TOUCHE,2017-2018,24973.00
DELOITTE AND TOUCHE,2019-2020,97360.80
DELOITTE AND TOUCHE,2020-2021,422420.21
ECOLE DE LANGUES ABCE,2017-2018,35078.51
ECOLE DE LANGUES ABCE,2019-2020,15016.50
ECOLE DE LANGUES LA CITE,2017-2018,22074.76
ECOLE DE LANGUES LA CITE,2019-2020,25965.00
ERNST YOUNG,2017-2018,99153.00
ERNST YOUNG,2018-2019,97946.58
ERNST YOUNG,2019-2020,16950.00
GARTNER,2018-2019,33406.56
GARTNER,2019-2020,151700.34
GARTNER,2020-2021,41900.22
GC STRATEGIES,2019-2020,24860.00
GOSS GILROY,2017-2018,107350.00
GOSS GILROY,2019-2020,84185.00
GRAYBRIDGE INTERNATIONAL CONSULTING,2017-2018,22157.00
GRAYBRIDGE INTERNATIONAL CONSULTING,2018-2019,13017.60
HYPERTEC,2018-2019,10588.50
IBM CANADA,2020-2021,38.85
INFO TECH RESEARCH GROUP,2017-2018,20340.00
INFO TECH RESEARCH GROUP,2018-2019,26595.87
INFO TECH RESEARCH GROUP,2019-2020,82742.42
INFO TECH RESEARCH GROUP,2020-2021,121352.05
IRON MOUNTAIN,2017-2018,10184.00
LANGUAGE RESEARCH DEVELOPMENT GROUP,2019-2020,10909.09
LANGUAGE RESEARCH DEVELOPMENT GROUP,2020-2021,7090.91
MEGALEXIS COMMUNICATIONS,2019-2020,10943.84
MEGALEXIS COMMUNICATIONS,2020-2021,39945.02
"NATIONS TRANSLATION GROUP",2019-2020,52576.39
"NATIONS TRANSLATION GROUP",2020-2021,95474.53
NEWFOUND RECRUITING,2020-2021,12076.36
R R INTERNATIONAL TRANSLATION,2018-2019,12608.20
R R INTERNATIONAL TRANSLATION,2019-2020,94994.32
R R INTERNATIONAL TRANSLATION,2020-2021,82728.10
SYSTEMSCOPE,2017-2018,4631.15
THOMSON REUTERS,2017-2018,10509.00
THOMSON REUTERS,2018-2019,10130.62
THOMSON REUTERS,2019-2020,907.22
TOTEM OFFISOURCE,2017-2018,8852.85
TOTEM OFFISOURCE,2018-2019,12961.81
