d_vendor_name,d_fiscal_year,total
ACT,2017-2018,183776.3317260274
ACT,2020-2021,490129.65388601035
ADGA GROUP,2017-2018,274476.1273209549
ADGA GROUP,2020-2021,205426.35658914727
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,734.6984383561644
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,295234.86419178086
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,4537.242275012065
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,117235.50509485095
ALTIS HUMAN RESOURCES,2017-2018,274641.97194387054
ALTIS HUMAN RESOURCES,2018-2019,404683.32442483556
ALTIS HUMAN RESOURCES,2019-2020,164988.59242321178
ALTIS HUMAN RESOURCES,2020-2021,94347.53155085072
AMEC FOSTER WHEELER AMERICAS,2017-2018,47478.93954410307
AMEC FOSTER WHEELER AMERICAS,2018-2019,47218.780971258675
BDO CANADA,2017-2018,43955.88235294118
BELL CANADA,2017-2018,1755140.1
BELL CANADA,2018-2019,2000000.0000000002
BELL CANADA,2019-2020,117013.44827586206
BELL CANADA,2020-2021,103166.55172413793
BLACKBERRY,2017-2018,19952.26445346081
BLACKBERRY,2018-2019,22122.424109589043
BLACKBERRY,2019-2020,17070.691666666666
BLACKBERRY,2020-2021,3414.1383333333333
CAE,2017-2018,16756.704731947484
CAE,2018-2019,16664.88717177243
CAE,2019-2020,53130
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,281672.15
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,95670.3
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,14200.000000000002
CANADIAN HELICOPTERS,2018-2019,17057.609999999997
CANADIAN STANDARDS ASSOCIATION,2017-2018,150472.4409448819
CARAHSOFT TECHNOLOGY,2019-2020,978.0610410958903
CARAHSOFT TECHNOLOGY,2020-2021,10537.818958904109
CARSWELL,2017-2018,13174.999999999998
CDW CANADA,2017-2018,519.9437704918033
CDW CANADA,2018-2019,10052.246229508197
CNW GROUP,2017-2018,11300
CNW GROUP,2018-2019,10499
CNW GROUP,2019-2020,10500
CNW GROUP,2020-2021,10500
CSDC SYSTEMS,2017-2018,5066.200958083832
CSDC SYSTEMS,2018-2019,16618.344998200322
CSDC SYSTEMS,2019-2020,10989.111967213117
CSDC SYSTEMS,2020-2021,3058.1320765027326
DELL COMPUTER,2017-2018,4207.885870556062
DELL COMPUTER,2018-2019,34308.6923336372
DELL COMPUTER,2019-2020,5422.838833181404
DELL COMPUTER,2020-2021,169671.67296262534
DONNA CONA,2017-2018,96747.25609756098
DONNA CONA,2018-2019,81108.65853658537
EAGLE PROFESSIONAL RESOURCES,2018-2019,997148.2889733841
EAGLE PROFESSIONAL RESOURCES,2019-2020,2851.71102661597
EBSCO CANADA,2017-2018,10618.53365790448
EBSCO CANADA,2018-2019,13025.607123287671
EBSCO CANADA,2019-2020,14857.435634403773
EBSCO CANADA,2020-2021,14984.498338198966
ENGLOBE,2020-2021,12657.534246575344
ENVIRONICS RESEARCH GROUP,2019-2020,21494.53101265823
ENVIRONICS RESEARCH GROUP,2020-2021,84610.18424596246
EPERFORMANCE,2017-2018,206343.28358208956
EPERFORMANCE,2018-2019,476679.1044776119
EPERFORMANCE,2019-2020,477985.0746268656
EPERFORMANCE,2020-2021,238992.5373134328
ERNST YOUNG,2017-2018,1931833.9416228798
ERNST YOUNG,2018-2019,1323649.316960459
ERNST YOUNG,2019-2020,101258.36680053547
ERNST YOUNG,2020-2021,39973.5
ESRI,2017-2018,37531.12278332835
ESRI,2018-2019,66374.33704513083
ESRI,2019-2020,95710.8656485073
ESRI,2020-2021,63088.784302717264
EXCEL HUMAN RESOURCES,2017-2018,59900.525921881665
EXCEL HUMAN RESOURCES,2018-2019,79736.4262813969
EXCEL HUMAN RESOURCES,2019-2020,126321.55942274655
EXCEL HUMAN RESOURCES,2020-2021,42432.56429585655
FREEBALANCE,2017-2018,97892.55
FREEBALANCE,2018-2019,91003.5
FREEBALANCE,2019-2020,117759.42591549296
FREEBALANCE,2020-2021,58092.12408450704
GARTNER,2020-2021,13768.520547945207
GENESIS INTEGRATION,2018-2019,24675
HATCH,2017-2018,58176.76380368098
HATCH,2018-2019,73073.23619631902
HEMMERA ENVIROCHEM,2020-2021,49915.8515625
HYPERTEC,2020-2021,46945.5
IHS GLOBAL,2017-2018,5568.520923913043
IHS GLOBAL,2018-2019,65905.88608809115
IHS GLOBAL,2019-2020,288258.1426857508
IHS GLOBAL,2020-2021,60559.53519876078
INTERNATIONAL REPORTING,2017-2018,420000
INTERNATIONAL REPORTING,2018-2019,420000
INTERNATIONAL REPORTING,2020-2021,210000
JOHN WILEY SONS,2017-2018,15310.348342549923
JOHN WILEY SONS,2018-2019,10597.301657450078
JOHNSON CONTROLS CANADA,2017-2018,21072.367159025514
JOHNSON CONTROLS CANADA,2018-2019,14074.615384615385
JUMPING ELEPHANTS,2018-2019,5849.711666666666
JUMPING ELEPHANTS,2019-2020,99445.09833333333
KPMG,2017-2018,22487.213114754097
KPMG,2018-2019,63245.2868852459
LES TRADUCTIONS TESSIER,2017-2018,121398.38930903857
LES TRADUCTIONS TESSIER,2018-2019,128532.15246207421
LES TRADUCTIONS TESSIER,2019-2020,42153.64120781528
LIONBRIDGE,2017-2018,167322.67412231574
LIONBRIDGE,2018-2019,148468.5491970208
LIONBRIDGE,2019-2020,186486.836229891
LIONBRIDGE,2020-2021,79452.77812617585
MAPLESOFT CONSULTING,2017-2018,9303973.995199678
MAPLESOFT CONSULTING,2018-2019,1494620.9969541435
MAPLESOFT CONSULTING,2019-2020,1617053.33203473
MAPLESOFT CONSULTING,2020-2021,590469.359534767
MAXSYS STAFFING AND CONSULTING,2017-2018,449839.3574297189
MAXSYS STAFFING AND CONSULTING,2018-2019,1226128.3933467201
MAXSYS STAFFING AND CONSULTING,2019-2020,1029666.8294196393
MAXSYS STAFFING AND CONSULTING,2020-2021,1964263.976737583
MDOS CONSULTING,2020-2021,1132893.5294117648
MICROSOFT CANADA,2017-2018,227658.6078590786
MICROSOFT CANADA,2018-2019,122265.52
MICROSOFT CANADA,2019-2020,90836.6496910442
MICROSOFT CANADA,2020-2021,176559.14791593206
MOBILE RESOURCE GROUP,2020-2021,73365.25
MODIS CANADA,2017-2018,492027.3205063291
MODIS CANADA,2018-2019,2306324.559464165
MODIS CANADA,2019-2020,2416143.3158439486
MODIS CANADA,2020-2021,1975023.4532963997
NISHA TECHONOLOGIES,2017-2018,511887.79000000004
NISHA TECHONOLOGIES,2018-2019,216312.18
NISHA TECHONOLOGIES,2019-2020,68185.95
NISHA TECHONOLOGIES,2020-2021,694611.22
OPROMA,2020-2021,46473.15490533563
ORANGUTECH,2017-2018,113839.05304109589
ORANGUTECH,2018-2019,117170.8718769369
ORANGUTECH,2019-2020,39338.776287446664
ORANGUTECH,2020-2021,46839.95879452054
PROTAK CONSULTING GROUP,2020-2021,669420.294117647
QMR,2017-2018,22524.752475247526
QMR,2018-2019,14421.028169014084
QMR,2019-2020,10551.971830985916
QMR,2020-2021,65364.3216080402
RANDSTAD,2017-2018,39665.44529916298
RAYMOND CHABOT GRANT THORNTON,2017-2018,326948.2758620689
RAYMOND CHABOT GRANT THORNTON,2018-2019,24999.999999999996
RAYMOND CHABOT GRANT THORNTON,2019-2020,40687.5
ROGERS,2017-2018,135038.6575903349
ROGERS,2018-2019,143298.52418111046
ROGERS,2019-2020,80303.92828290246
ROGERS,2020-2021,6118.389945652174
SDL INTERNATIONAL CANADA,2020-2021,10887.519452054794
SI SYSTEMS,2017-2018,4978448.895068446
SI SYSTEMS,2018-2019,4130844.120141338
SI SYSTEMS,2019-2020,3531220.1445189286
SI SYSTEMS,2020-2021,3067805.8536008797
SNC LAVALIN,2017-2018,102332.24215934362
SNC LAVALIN,2018-2019,79186.06917606012
SNC LAVALIN,2019-2020,45661.03649068323
SNC LAVALIN,2020-2021,16320.652173913044
SOFTCHOICE,2017-2018,3234
SOFTCHOICE,2018-2019,19571.6621253406
SOFTCHOICE,2019-2020,15398.386574924652
SOFTCHOICE,2020-2021,91577.85376657825
ST JOHN AMBULANCE,2017-2018,7470.127118644067
ST JOHN AMBULANCE,2018-2019,7470.127118644067
ST JOHN AMBULANCE,2019-2020,7490.593220338982
ST JOHN AMBULANCE,2020-2021,613.9830508474575
STANTEC,2019-2020,71391.6
SYSTEMATIX SOLUTIONS,2017-2018,133400.5245184912
SYSTEMATIX SOLUTIONS,2018-2019,172398.08238959452
SYSTEMATIX SOLUTIONS,2019-2020,93714.53905746281
SYSTEMATIX SOLUTIONS,2020-2021,41070.18736778483
TEKNION,2019-2020,14836.760000000002
THOMSON REUTERS,2017-2018,22146.823770491803
THOMSON REUTERS,2018-2019,39921
TURTLE ISLAND STAFFING,2018-2019,66069.06202702702
TURTLE ISLAND STAFFING,2019-2020,76887.38797297297
TURTLE ISLAND STAFFING,2020-2021,158774.30000000002
UNIVERSITY OF ALBERTA,2017-2018,62137.60217983652
UNIVERSITY OF ALBERTA,2018-2019,20487.39782016349
UNIVERSITY OF CALGARY,2017-2018,691645.9692129629
UNIVERSITY OF CALGARY,2018-2019,667145.9692129629
UNIVERSITY OF CALGARY,2019-2020,391148.5956481481
VERITAS TECHNOLOGIES,2018-2019,10596.89
VIZWORX,2017-2018,1712708.1010928962
VIZWORX,2018-2019,1117570.1666666665
VIZWORX,2019-2020,566687.7767753252
VIZWORX,2020-2021,658250.0180342651
WOOD CANADA,2019-2020,57730.02
XEROX,2017-2018,199278.1699047619
XEROX,2018-2019,104588.78649153876
XEROX,2019-2020,105186.09755608029
XEROX,2020-2021,105909.81690476192
